soc_code_clean,high_exposure_score,low_exposure_score,ai_exposure_score,soc_code,occupation_title
11-1011,3.2025,2.7616666666666667,0.4408333333333334,11-1011,Chief Executives
11-1021,3.1525,2.625,0.5274999999999999,11-1021,General and Operations Managers
11-2011,3.465,2.04,1.4249999999999998,11-2011,Advertising and Promotions Managers
11-2021,2.9025,2.2283333333333335,0.6741666666666664,11-2021,Marketing Managers
11-2022,2.8875,2.058333333333333,0.829166666666667,11-2022,Sales Managers
11-2032,2.7225,1.8716666666666668,0.8508333333333333,11-2032,Public Relations Managers
11-2033,3.2600000000000002,1.8066666666666666,1.4533333333333336,11-2033,Fundraising Managers
11-3012,3.3575,2.671666666666667,0.6858333333333331,11-3012,Administrative Services Managers
11-3013,2.99,3.2516666666666665,-0.26166666666666627,11-3013,Facilities Managers
11-3021,3.1399999999999997,1.8716666666666668,1.2683333333333329,11-3021,Computer and Information Systems Managers
11-3031,3.5733333333333337,1.7622222222222221,1.8111111111111116,11-3031,Financial Managers
11-3051,3.217083333333333,2.895277777777778,0.32180555555555523,11-3051,Industrial Production Managers
11-3061,3.5250000000000004,2.4899999999999998,1.0350000000000006,11-3061,Purchasing Managers
11-3071,3.225,2.908333333333333,0.3166666666666669,11-3071,"Transportation, Storage, and Distribution Managers"
11-3111,3.1425,1.7433333333333334,1.3991666666666667,11-3111,Compensation and Benefits Managers
11-3121,2.91,2.33,0.5800000000000001,11-3121,Human Resources Managers
11-3131,2.63,1.7516666666666667,0.8783333333333332,11-3131,Training and Development Managers
11-9013,3.0475,2.7783333333333338,0.2691666666666661,11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
11-9021,3.65,3.4499999999999997,0.20000000000000018,11-9021,Construction Managers
11-9031,3.2424999999999997,2.5166666666666666,0.7258333333333331,11-9031,"Education and Childcare Administrators, Preschool and Daycare"
11-9032,2.89,2.4683333333333333,0.42166666666666686,11-9032,"Education Administrators, Kindergarten through Secondary"
11-9033,3.0625,2.255,0.8075000000000001,11-9033,"Education Administrators, Postsecondary"
11-9041,3.1125,2.6908333333333334,0.4216666666666664,11-9041,Architectural and Engineering Managers
11-9051,3.1425,2.4766666666666666,0.6658333333333335,11-9051,Food Service Managers
11-9071,3.7375,2.4766666666666666,1.2608333333333333,11-9071,Gambling Managers
11-9072,2.9025,2.6950000000000003,0.20749999999999957,11-9072,"Entertainment and Recreation Managers, Except Gambling"
11-9081,4.135,2.8866666666666667,1.248333333333333,11-9081,Lodging Managers
11-9111,3.54,2.4366666666666665,1.1033333333333335,11-9111,Medical and Health Services Managers
11-9121,3.0366666666666666,2.2088888888888887,0.827777777777778,11-9121,Natural Sciences Managers
11-9131,3.435,2.981666666666667,0.45333333333333314,11-9131,Postmasters and Mail Superintendents
11-9141,3.41,2.92,0.4900000000000002,11-9141,"Property, Real Estate, and Community Association Managers"
11-9151,3.2199999999999998,2.8333333333333335,0.38666666666666627,11-9151,Social and Community Service Managers
11-9161,3.055,3.205,-0.1499999999999999,11-9161,Emergency Management Directors
11-9171,3.5775,2.686666666666667,0.8908333333333331,11-9171,Funeral Home Managers
11-9179,3.09,2.415,0.6749999999999998,11-9179,"Personal Service Managers, All Other"
11-9199,3.0270833333333336,2.5244444444444443,0.5026388888888893,11-9199,"Managers, All Other"
13-1011,2.84,1.805,1.035,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes"
13-1031,3.4875,2.6,0.8874999999999997,13-1031,"Claims Adjusters, Examiners, and Investigators"
13-1032,2.865,2.3183333333333334,0.5466666666666669,13-1032,"Insurance Appraisers, Auto Damage"
13-1041,2.932857142857143,2.4873809523809522,0.4454761904761906,13-1041,Compliance Officers
13-1051,3.6550000000000002,2.4250000000000003,1.23,13-1051,Cost Estimators
13-1071,2.6875,1.8150000000000002,0.8724999999999998,13-1071,Human Resources Specialists
13-1074,3.55,2.705,0.8449999999999998,13-1074,Farm Labor Contractors
13-1075,2.585,2.0083333333333333,0.5766666666666667,13-1075,Labor Relations Specialists
13-1081,3.376666666666667,2.6594444444444445,0.7172222222222224,13-1081,Logisticians
13-1082,2.98,1.9649999999999999,1.0150000000000001,13-1082,Project Management Specialists
13-1111,3.3525,2.39,0.9624999999999999,13-1111,Management Analysts
13-1121,3.06,2.526666666666667,0.5333333333333332,13-1121,"Meeting, Convention, and Event Planners"
13-1131,3.105,1.9633333333333332,1.1416666666666668,13-1131,Fundraisers
13-1141,3.31,2.04,1.27,13-1141,"Compensation, Benefits, and Job Analysis Specialists"
13-1151,2.545,2.0516666666666667,0.4933333333333332,13-1151,Training and Development Specialists
13-1161,2.9925,1.5233333333333334,1.4691666666666667,13-1161,Market Research Analysts and Marketing Specialists
13-1199,2.9006250000000002,2.459166666666667,0.4414583333333333,13-1199,"Business Operations Specialists, All Other"
13-2011,3.56,1.7533333333333332,1.8066666666666669,13-2011,Accountants and Auditors
13-2031,3.7975,1.6833333333333333,2.1141666666666667,13-2031,Budget Analysts
13-2041,3.5625,1.6583333333333332,1.9041666666666668,13-2041,Credit Analysts
13-2052,3.3200000000000003,1.8583333333333334,1.461666666666667,13-2052,Personal Financial Advisors
13-2053,2.9,1.95,0.95,13-2053,Insurance Underwriters
13-2061,3.0875,1.45,1.6375,13-2061,Financial Examiners
13-2071,3.3775,2.2449999999999997,1.1325000000000003,13-2071,Credit Counselors
13-2072,3.2775,2.078333333333333,1.1991666666666667,13-2072,Loan Officers
13-2081,3.4525,2.058333333333333,1.394166666666667,13-2081,"Tax Examiners and Collectors, and Revenue Agents"
13-2082,3.55,1.7283333333333335,1.8216666666666663,13-2082,Tax Preparers
13-2099,3.32625,1.5725,1.75375,13-2099,"Financial Specialists, All Other"
15-1211,3.14875,1.9591666666666667,1.1895833333333334,15-1211,Computer Systems Analysts
15-1212,3.05,2.07,0.98,15-1212,Information Security Analysts
15-1221,3.3475,1.89,1.4575000000000002,15-1221,Computer and Information Research Scientists
15-1231,3.0250000000000004,2.013333333333333,1.0116666666666672,15-1231,Computer Network Support Specialists
15-1232,3.25,2.5116666666666667,0.7383333333333333,15-1232,Computer User Support Specialists
15-1241,3.195,2.4933333333333336,0.7016666666666662,15-1241,Computer Network Architects
15-1242,3.3449999999999998,2.0866666666666664,1.2583333333333333,15-1242,Database Administrators
15-1243,2.9074999999999998,1.4058333333333335,1.5016666666666663,15-1243,Database Architects
15-1244,2.94,1.8833333333333335,1.0566666666666664,15-1244,Network and Computer Systems Administrators
15-1251,3.4025,1.6766666666666667,1.725833333333333,15-1251,Computer Programmers
15-1252,3.2275,1.9016666666666666,1.3258333333333334,15-1252,Software Developers
15-1253,2.9400000000000004,1.5616666666666665,1.3783333333333339,15-1253,Software Quality Assurance Analysts and Testers
