soc_code_clean,high_exposure_score,low_exposure_score,ai_exposure_score,soc_code,occupation_title_2020,employment_2020,occupation_title_2025,employment_2025,pct_change
11-1011,3.2025,2.7616666666666667,0.4408333333333334,11-1011,Chief Executives,202360.0,Chief Executives,204350.0,0.9833959280490215
11-1021,3.1525,2.625,0.5274999999999999,11-1021,General and Operations Managers,2347420.0,General and Operations Managers,3503020.0,49.22851470976647
11-2011,3.465,2.04,1.4249999999999998,11-2011,Advertising and Promotions Managers,22490.0,Advertising and Promotions Managers,21470.0,-4.535349044019564
11-2021,2.9025,2.2283333333333335,0.6741666666666664,11-2021,Marketing Managers,270200.0,Marketing Managers,395240.0,46.276831976313844
11-2022,2.8875,2.058333333333333,0.829166666666667,11-2022,Sales Managers,390170.0,Sales Managers,637080.0,63.282671655944846
11-3021,3.1399999999999997,1.8716666666666668,1.2683333333333329,11-3021,Computer and Information Systems Managers,457290.0,Computer and Information Systems Managers,670570.0,46.639987753941696
11-3031,3.5733333333333337,1.7622222222222221,1.8111111111111116,11-3031,Financial Managers,653080.0,Financial Managers,841710.0,28.883138359772158
11-3051,3.217083333333333,2.895277777777778,0.32180555555555523,11-3051,Industrial Production Managers,179570.0,Industrial Production Managers,246250.0,37.133151417274604
11-3061,3.5250000000000004,2.4899999999999998,1.0350000000000006,11-3061,Purchasing Managers,70960.0,Purchasing Managers,84320.0,18.82750845546787
11-3071,3.225,2.908333333333333,0.3166666666666669,11-3071,"Transportation, Storage, and Distribution Managers",132210.0,"Transportation, Storage, and Distribution Managers",221180.0,67.29445579003101
11-3111,3.1425,1.7433333333333334,1.3991666666666667,11-3111,Compensation and Benefits Managers,16340.0,Compensation and Benefits Managers,22940.0,40.39167686658507
11-3121,2.91,2.33,0.5800000000000001,11-3121,Human Resources Managers,156600.0,Human Resources Managers,220660.0,40.90676883780332
11-3131,2.63,1.7516666666666667,0.8783333333333332,11-3131,Training and Development Managers,38710.0,Training and Development Managers,48050.0,24.128132265564453
11-9013,3.0475,2.7783333333333338,0.2691666666666661,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",5670.0,"Farmers, Ranchers, and Other Agricultural Managers",6500.0,14.638447971781304
11-9021,3.65,3.4499999999999997,0.20000000000000018,11-9021,Construction Managers,285640.0,Construction Managers,380360.0,33.160621761658035
11-9031,3.2424999999999997,2.5166666666666666,0.7258333333333331,11-9031,"Education and Childcare Administrators, Preschool and Daycare",46410.0,"Education and Childcare Administrators, Preschool and Daycare",73660.0,58.71579400991166
11-9032,2.89,2.4683333333333333,0.42166666666666686,11-9032,"Education Administrators, Kindergarten through Secondary",262480.0,"Education Administrators, Kindergarten through Secondary",328330.0,25.087625723864676
11-9033,3.0625,2.255,0.8075000000000001,11-9033,"Education Administrators, Postsecondary",140880.0,"Education Administrators, Postsecondary",180470.0,28.101930721181144
11-9041,3.1125,2.6908333333333334,0.4216666666666664,11-9041,Architectural and Engineering Managers,195900.0,Architectural and Engineering Managers,220260.0,12.434915773353753
11-9051,3.1425,2.4766666666666666,0.6658333333333335,11-9051,Food Service Managers,197010.0,Food Service Managers,238430.0,21.024313486625044
11-9071,3.7375,2.4766666666666666,1.2608333333333333,11-9071,Gambling Managers,3240.0,Gambling Managers,5030.0,55.24691358024691
11-9081,4.135,2.8866666666666667,1.248333333333333,11-9081,Lodging Managers,31790.0,Lodging Managers,42620.0,34.06731676627871
11-9111,3.54,2.4366666666666665,1.1033333333333335,11-9111,Medical and Health Services Managers,402540.0,Medical and Health Services Managers,597080.0,48.328116460475975
11-9121,3.0366666666666666,2.2088888888888887,0.827777777777778,11-9121,Natural Sciences Managers,75870.0,Natural Sciences Managers,108690.0,43.25820482404112
11-9131,3.435,2.981666666666667,0.45333333333333314,11-9131,Postmasters and Mail Superintendents,13880.0,Postmasters and Mail Superintendents,13810.0,-0.5043227665706052
11-9141,3.41,2.92,0.4900000000000002,11-9141,"Property, Real Estate, and Community Association Managers",219800.0,"Property, Real Estate, and Community Association Managers",311180.0,41.57415832575068
11-9151,3.2199999999999998,2.8333333333333335,0.38666666666666627,11-9151,Social and Community Service Managers,155800.0,Social and Community Service Managers,209330.0,34.3581514762516
11-9161,3.055,3.205,-0.1499999999999999,11-9161,Emergency Management Directors,10210.0,Emergency Management Directors,13500.0,32.22331047992164
11-9171,3.5775,2.686666666666667,0.8908333333333331,11-9171,Funeral Home Managers,10010.0,Funeral Home Managers,13910.0,38.961038961038966
13-1011,2.84,1.805,1.035,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",16240.0,"Agents and Business Managers of Artists, Performers, and Athletes",12620.0,-22.29064039408867
13-1031,3.4875,2.6,0.8874999999999997,13-1031,"Claims Adjusters, Examiners, and Investigators",287150.0,"Claims Adjusters, Examiners, and Investigators",324230.0,12.913111614138954
13-1032,2.865,2.3183333333333334,0.5466666666666669,13-1032,"Insurance Appraisers, Auto Damage",13220.0,"Insurance Appraisers, Auto Damage",11560.0,-12.556732223903177
13-1041,2.932857142857143,2.4873809523809522,0.4454761904761906,13-1041,Compliance Officers,327360.0,Compliance Officers,417070.0,27.404081133919846
13-1051,3.6550000000000002,2.4250000000000003,1.23,13-1051,Cost Estimators,199360.0,Cost Estimators,224220.0,12.469903691813803
13-1071,2.6875,1.8150000000000002,0.8724999999999998,13-1071,Human Resources Specialists,647810.0,Human Resources Specialists,912430.0,40.84839690650036
13-1074,3.55,2.705,0.8449999999999998,13-1074,Farm Labor Contractors,,Farm Labor Contractors,310.0,
13-1075,2.585,2.0083333333333333,0.5766666666666667,13-1075,Labor Relations Specialists,70050.0,Labor Relations Specialists,64810.0,-7.4803711634546755
13-1081,3.376666666666667,2.6594444444444445,0.7172222222222224,13-1081,Logisticians,184230.0,Logisticians,251040.0,36.2644520436411
13-1111,3.3525,2.39,0.9624999999999999,13-1111,Management Analysts,734000.0,Management Analysts,898280.0,22.381471389645778
13-1121,3.06,2.526666666666667,0.5333333333333332,13-1121,"Meeting, Convention, and Event Planners",109800.0,"Meeting, Convention, and Event Planners",142860.0,30.10928961748634
13-1131,3.105,1.9633333333333332,1.1416666666666668,13-1131,Fundraisers,82140.0,Fundraisers,111040.0,35.18383248112978
13-1141,3.31,2.04,1.27,13-1141,"Compensation, Benefits, and Job Analysis Specialists",87870.0,"Compensation, Benefits, and Job Analysis Specialists",112380.0,27.89347900307272
13-1151,2.545,2.0516666666666667,0.4933333333333332,13-1151,Training and Development Specialists,318040.0,Training and Development Specialists,458300.0,44.101370896742544
13-1161,2.9925,1.5233333333333334,1.4691666666666667,13-1161,Market Research Analysts and Marketing Specialists,690160.0,Market Research Analysts and Marketing Specialists,899580.0,30.343688420076504
13-2011,3.56,1.7533333333333332,1.8066666666666669,13-2011,Accountants and Auditors,1274620.0,Accountants and Auditors,1449500.0,13.720167579356984
13-2031,3.7975,1.6833333333333333,2.1141666666666667,13-2031,Budget Analysts,49260.0,Budget Analysts,47160.0,-4.263093788063337
13-2041,3.5625,1.6583333333333332,1.9041666666666668,13-2041,Credit Analysts,72090.0,Credit Analysts,64390.0,-10.681093078096824
13-2052,3.3200000000000003,1.8583333333333334,1.461666666666667,13-2052,Personal Financial Advisors,218050.0,Personal Financial Advisors,266800.0,22.35725750974547
13-2053,2.9,1.95,0.95,13-2053,Insurance Underwriters,101790.0,Insurance Underwriters,105420.0,3.566165635131152
13-2061,3.0875,1.45,1.6375,13-2061,Financial Examiners,68210.0,Financial Examiners,67830.0,-0.5571030640668524
13-2071,3.3775,2.2449999999999997,1.1325000000000003,13-2071,Credit Counselors,30770.0,Credit Counselors,27770.0,-9.749756256093598
13-2072,3.2775,2.078333333333333,1.1991666666666667,13-2072,Loan Officers,308700.0,Loan Officers,274330.0,-11.133786848072562
13-2081,3.4525,2.058333333333333,1.394166666666667,13-2081,"Tax Examiners and Collectors, and Revenue Agents",53150.0,"Tax Examiners and Collectors, and Revenue Agents",56610.0,6.509877704609596
13-2082,3.55,1.7283333333333335,1.8216666666666663,13-2082,Tax Preparers,62600.0,Tax Preparers,76480.0,22.17252396166134
15-1211,3.14875,1.9591666666666667,1.1895833333333334,15-1211,Computer Systems Analysts,574450.0,Computer Systems Analysts,519530.0,-9.560449125250239
15-1212,3.05,2.07,0.98,15-1212,Information Security Analysts,138000.0,Information Security Analysts,190650.0,38.15217391304348
15-1221,3.3475,1.89,1.4575000000000002,15-1221,Computer and Information Research Scientists,30220.0,Computer and Information Research Scientists,37200.0,23.097286565188615
15-1231,3.0250000000000004,2.013333333333333,1.0116666666666672,15-1231,Computer Network Support Specialists,184220.0,Computer Network Support Specialists,146190.0,-20.64379546194767
15-1232,3.25,2.5116666666666667,0.7383333333333333,15-1232,Computer User Support Specialists,634820.0,Computer User Support Specialists,717190.0,12.975331590057024
15-1241,3.195,2.4933333333333336,0.7016666666666662,15-1241,Computer Network Architects,159350.0,Computer Network Architects,179740.0,12.795732663947284
15-1244,2.94,1.8833333333333335,1.0566666666666664,15-1244,Network and Computer Systems Administrators,339560.0,Network and Computer Systems Administrators,314340.0,-7.427258805513016
15-1251,3.4025,1.6766666666666667,1.725833333333333,15-1251,Computer Programmers,178140.0,Computer Programmers,92230.0,-48.226114292129786
15-1299,3.091666666666667,2.020185185185185,1.0714814814814817,15-1299,"Computer Occupations, All Other",362580.0,"Computer Occupations, All Other",435370.0,20.075569529483147
15-2011,3.7725,1.4100000000000001,2.3625,15-2011,Actuaries,22480.0,Actuaries,26670.0,18.63879003558719
15-2021,3.0374999999999996,1.45,1.5874999999999997,15-2021,Mathematicians,2460.0,Mathematicians,2030.0,-17.479674796747968
15-2031,3.245,1.7783333333333333,1.4666666666666668,15-2031,Operations Research Analysts,96220.0,Operations Research Analysts,108510.0,12.772812305134067
15-2041,3.2350000000000003,1.5250000000000001,1.7100000000000002,15-2041,Statisticians,38860.0,Statisticians,29030.0,-25.295934122490994
17-1011,3.215,3.2733333333333334,-0.05833333333333357,17-1011,"Architects, Except Landscape and Naval",103900.0,"Architects, Except Landscape and Naval",106770.0,2.7622714148219445
17-1012,2.865,2.986666666666667,-0.12166666666666659,17-1012,Landscape Architects,20730.0,Landscape Architects,19600.0,-5.451037144235408
17-1021,2.8575,2.0116666666666667,0.8458333333333332,17-1021,Cartographers and Photogrammetrists,12600.0,Cartographers and Photogrammetrists,14260.0,13.174603174603176
17-1022,3.4450000000000003,2.5116666666666667,0.9333333333333336,17-1022,Surveyors,43710.0,Surveyors,50830.0,16.289178677648135
17-2011,3.0675,2.231666666666667,0.835833333333333,17-2011,Aerospace Engineers,60630.0,Aerospace Engineers,67710.0,11.677387431964375
17-2021,3.495,2.8349999999999995,0.6600000000000006,17-2021,Agricultural Engineers,1440.0,Agricultural Engineers,1480.0,2.7777777777777777
17-2031,3.3375,2.2133333333333334,1.1241666666666665,17-2031,Bioengineers and Biomedical Engineers,18660.0,Bioengineers and Biomedical Engineers,23480.0,25.830653804930332
17-2041,2.9775,2.233333333333333,0.7441666666666671,17-2041,Chemical Engineers,25770.0,Chemical Engineers,21070.0,-18.23826154443151
17-2051,3.2458333333333336,3.0011111111111113,0.24472222222222229,17-2051,Civil Engineers,300850.0,Civil Engineers,367840.0,22.26691042047532
17-2061,3.2649999999999997,1.7616666666666667,1.503333333333333,17-2061,Computer Hardware Engineers,64710.0,Computer Hardware Engineers,76660.0,18.46700664503168
17-2071,3.4,2.5283333333333333,0.8716666666666666,17-2071,Electrical Engineers,185220.0,Electrical Engineers,198750.0,7.304826692581795
17-2072,3.20625,2.2883333333333336,0.9179166666666663,17-2072,"Electronics Engineers, Except Computer",122320.0,"Electronics Engineers, Except Computer",96900.0,-20.781556572923478
17-2081,3.2825,2.873333333333333,0.4091666666666671,17-2081,Environmental Engineers,50260.0,Environmental Engineers,38340.0,-23.716673298846
17-2111,3.0825,3.1758333333333333,-0.09333333333333327,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",23780.0,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",21450.0,-9.798149705634987
17-2112,3.0681249999999998,2.5883333333333334,0.4797916666666664,17-2112,Industrial Engineers,290190.0,Industrial Engineers,365740.0,26.034666942348117
17-2121,3.0925000000000002,3.1633333333333336,-0.0708333333333333,17-2121,Marine Engineers and Naval Architects,8700.0,Marine Engineers and Naval Architects,8250.0,-5.172413793103448
17-2131,3.1075,2.1216666666666666,0.9858333333333333,17-2131,Materials Engineers,24740.0,Materials Engineers,22770.0,-7.9628132578819715
17-2141,3.144166666666667,2.5716666666666668,0.5725000000000002,17-2141,Mechanical Engineers,293960.0,Mechanical Engineers,296810.0,0.9695196625391209
17-2151,3.5125,2.4066666666666667,1.1058333333333334,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",6270.0,"Mining and Geological Engineers, Including Mining Safety Engineers",6080.0,-3.0303030303030303
17-2161,3.1,2.6750000000000003,0.4249999999999998,17-2161,Nuclear Engineers,15700.0,Nuclear Engineers,15280.0,-2.67515923566879
17-2171,3.505,2.0966666666666667,1.4083333333333332,17-2171,Petroleum Engineers,27850.0,Petroleum Engineers,18060.0,-35.152603231597844
17-2199,3.2165625,2.3858333333333333,0.830729166666667,17-2199,"Engineers, All Other",152380.0,"Engineers, All Other",154070.0,1.109069431683948
17-3011,2.9525,2.69,0.2625000000000002,17-3011,Architectural and Civil Drafters,99180.0,Architectural and Civil Drafters,103700.0,4.557370437588223
17-3012,3.2125,2.3583333333333334,0.8541666666666665,17-3012,Electrical and Electronics Drafters,23020.0,Electrical and Electronics Drafters,17920.0,-22.15464813205908
17-3013,2.8875,2.316666666666667,0.5708333333333333,17-3013,Mechanical Drafters,51620.0,Mechanical Drafters,39960.0,-22.5881441301821
17-3021,3.11,2.5883333333333334,0.5216666666666665,17-3021,Aerospace Engineering and Operations Technologists and Technicians,11900.0,Aerospace Engineering and Operations Technologists and Technicians,11280.0,-5.2100840336134455
17-3022,3.46,3.14,0.31999999999999984,17-3022,Civil Engineering Technologists and Technicians,67270.0,Civil Engineering Technologists and Technicians,68520.0,1.8581834398691839
17-3023,2.885,2.4083333333333337,0.47666666666666613,17-3023,Electrical and Electronic Engineering Technologists and Technicians,115270.0,Electrical and Electronic Engineering Technologists and Technicians,95130.0,-17.472022208727335
17-3024,2.8775,2.250833333333333,0.6266666666666669,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,13160.0,Electro-Mechanical and Mechatronics Technologists and Technicians,15520.0,17.933130699088146
17-3025,2.725,2.7183333333333337,0.0066666666666663765,17-3025,Environmental Engineering Technologists and Technicians,17070.0,Environmental Engineering Technologists and Technicians,12190.0,-28.588166373755126
17-3026,3.31875,2.4683333333333333,0.8504166666666668,17-3026,Industrial Engineering Technologists and Technicians,62980.0,Industrial Engineering Technologists and Technicians,75570.0,19.99047316608447
17-3027,3.125,2.5966666666666667,0.5283333333333333,17-3027,Mechanical Engineering Technologists and Technicians,39880.0,Mechanical Engineering Technologists and Technicians,36190.0,-9.252758274824474
17-3031,3.01,2.43,0.5799999999999996,17-3031,Surveying and Mapping Technicians,53370.0,Surveying and Mapping Technicians,58010.0,8.694022859284242
19-1011,3.085,2.1483333333333334,0.9366666666666665,19-1011,Animal Scientists,2680.0,Animal Scientists,3100.0,15.671641791044777
