occupation_title,employment_2025,forecast_2035,your_pct_change_2035,bls_employment_2035,bls_pct_change,forecast_error
Chief Executives,204350.0,180294.09090909082,-11.771915385813152,300.9,3.2,-14.971915385813151
General and Operations Managers,3503020.0,5369624.090909123,53.28556762191262,3780.3,5.0,48.28556762191262
Advertising and Promotions Managers,21470.0,10369.090909090824,-51.70428081466779,31.9,-3.7,-48.00428081466779
Marketing Managers,395240.0,609306.8181818202,54.16122310034921,450.8,6.9,47.26122310034921
Sales Managers,637080.0,911123.636363633,43.015576750742916,679.1,4.5,38.515576750742916
Public Relations Managers,74850.0,119696.0,59.914495657982634,85.4,5.7,54.21449565798263
Fundraising Managers,38810.0,81698.0,110.50760113372841,51.4,5.4,105.10760113372841
Administrative Services Managers,263960.0,359862.0,36.33202000303076,293.3,5.2,31.132020003030764
Facilities Managers,156180.0,290188.0,85.80355999487772,173.5,4.6,81.20355999487772
Computer and Information Systems Managers,670570.0,1002149.9999999851,49.44748497546641,793.9,15.8,33.64748497546641
Financial Managers,841710.0,1166261.363636367,38.55857286195567,964.6,9.7,28.85857286195567
Industrial Production Managers,246250.0,315263.18181818165,28.02565759113976,258.6,2.6,25.425657591139757
Purchasing Managers,84320.0,91285.90909090918,8.261277384854335,91.8,4.0,4.261277384854335
"Transportation, Storage, and Distribution Managers",221180.0,330048.6363636367,49.22173630691595,242.1,6.1,43.12173630691595
Compensation and Benefits Managers,22940.0,26050.454545454588,13.559086946183903,24.0,1.1,12.459086946183904
Human Resources Managers,220660.0,317922.7272727266,44.078096289643156,237.4,5.5,38.578096289643156
Training and Development Managers,48050.0,59820.000000000466,24.495317377732498,53.5,6.4,18.0953173777325
"Farmers, Ranchers, and Other Agricultural Managers",6500.0,8614.090909090883,32.524475524475115,762.2,-3.4,35.92447552447511
Construction Managers,380360.0,478237.2727272734,25.73279859272095,664.3,9.1,16.632798592720953
"Education Administrators, Preschool and Childcare Center/Program",73660.0,96495.0,31.00054303556883,89.0,-3.1,34.100543035568826
"Education Administrators, Elementary and Secondary School",328330.0,409500.4545454532,24.722216838380042,342.7,-0.3,25.022216838380043
"Education Administrators, Postsecondary",180470.0,223365.45454545505,23.768745245999366,235.9,1.8,21.968745245999365
Architectural and Engineering Managers,220260.0,252339.54545454495,14.564399098585737,233.1,5.5,9.064399098585737
Food Service Managers,238430.0,285187.7272727266,19.61067284852015,364.2,5.8,13.810672848520149
Gaming Managers,5030.0,5323.636363636353,5.837701066329086,5.8,3.6,2.237701066329086
"Entertainment and Recreation Managers, Except Gambling",37980.0,93956.0,147.38283307003687,46.5,6.0,141.38283307003687
Lodging Managers,42620.0,48600.45454545459,14.032037882343001,56.9,3.8,10.232037882343
Medical and Health Services Managers,597080.0,855038.636363633,43.20336242440426,795.5,24.2,19.003362424404262
Natural Sciences Managers,108690.0,161947.72727272846,48.99965707307798,121.5,8.2,40.79965707307798
Postmasters and Mail Superintendents,13810.0,12425.0,-10.02896451846488,13.2,-0.3,-9.72896451846488
"Property, Real Estate, and Community Association Managers",311180.0,448276.3636363633,44.05693284798615,477.6,3.7,40.356932847986144
Social and Community Service Managers,209330.0,274281.81818181835,31.028432705211078,247.7,7.2,23.82843270521108
Emergency Management Directors,13500.0,16365.0,21.22222222222222,14.5,3.9,17.322222222222223
Funeral Home Managers,13910.0,22294.28571428545,60.27523877990977,36.2,4.1,56.17523877990977
"Personal Service Managers, All Other",10450.0,19080.0,82.58373205741627,27.1,6.2,76.38373205741627
"Managers, All Other",622190.0,885014.0408163294,42.2417655083382,1404.4,4.9,37.3417655083382
"Agents and Business Managers of Artists, Performers, and Athletes",12620.0,11995.0,-4.952456418383519,29.5,9.7,-14.652456418383519
"Claims Adjusters, Examiners, and Investigators",324230.0,344220.0,6.165376430311816,355.5,-5.5,11.665376430311817
"Insurance Appraisers, Auto Damage",11560.0,1753.1818181818817,-84.83406731676573,12.4,-8.7,-76.13406731676572
Compliance Officers,417070.0,566863.1818181798,35.91559733813983,453.1,3.8,32.115597338139835
Cost Estimators,224220.0,230521.36363636353,2.810348602427763,219.5,-3.1,5.910348602427764
Human Resources Specialists,912430.0,1426184.0909090936,56.306137556754344,999.7,6.4,49.906137556754345
Farm Labor Contractors,310.0,-307.72727272727934,-199.26686217009012,2.0,7.4,-206.66686217009013
Labor Relations Specialists,64810.0,40649.090909090824,-37.27960051058351,67.7,2.1,-39.379600510583515
Logisticians,251040.0,356322.2727272734,41.938445159047724,300.0,17.6,24.338445159047723
Project Management Specialists,1066670.0,1891090.0,77.2891334714579,1167.4,6.7,70.5891334714579
Management Analysts,898280.0,1198348.636363633,33.404799880174664,1186.3,10.1,23.304799880174663
"Meeting, Convention, and Event Planners",142860.0,177027.7272727266,23.91693075229357,182.1,5.8,18.11693075229357
Fundraisers,111040.0,155549.5454545468,40.08424482578063,148.7,5.5,34.58424482578063
"Compensation, Benefits, and Job Analysis Specialists",112380.0,135846.81818181742,20.881667718292775,125.2,6.0,14.881667718292775
Training and Development Specialists,458300.0,643425.4545454532,40.39394600599022,523.7,10.8,29.593946005990222
Market Research Analysts and Marketing Specialists,899580.0,1294984.545454532,43.95435041403009,1019.0,7.0,36.95435041403009
"Business Operations Specialists, All Other",1087090.0,1290297.673469387,18.69281048205641,1202.3,3.9,14.792810482056408
Accountants and Auditors,1449500.0,1711351.363636367,18.064944024585515,1674.6,5.0,13.064944024585515
Budget Analysts,47160.0,35555.454545454355,-24.606754568587032,51.3,1.9,-26.50675456858703
Credit Analysts,64390.0,61788.18181818165,-4.040717785088292,61.9,-4.3,0.2592822149117078
Personal Financial Advisors,266800.0,378519.5454545468,41.873892599155475,303.5,1.4,40.47389259915548
Insurance Underwriters,105420.0,127531.81818181835,20.97497456063209,120.8,-3.8,24.774974560632092
Financial Examiners,67830.0,88119.54545454541,29.91234771420524,76.5,9.3,20.61234771420524
Credit Counselors,27770.0,20881.363636363763,-24.806036599338267,32.3,3.3,-28.106036599338267
Loan Officers,274330.0,302704.9999999999,10.34338205810516,286.0,1.1,9.24338205810516
"Tax Examiners and Collectors, and Revenue Agents",56610.0,45848.63636363647,-19.009651362592354,59.5,-1.0,-18.009651362592354
Tax Preparers,76480.0,89602.27272727294,17.157783377710434,100.3,4.7,12.457783377710435
"Financial Specialists, All Other",132130.0,129819.34693877556,-1.7487724674369476,143.4,4.1,-5.848772467436947
Computer Systems Analysts,519530.0,356180.3571428582,-31.441811417462283,587.2,7.9,-39.34181141746228
Information Security Analysts,190650.0,298951.0714285672,56.80622681802632,233.4,21.0,35.80622681802632
Computer and Information Research Scientists,37200.0,52428.214285714086,40.93605990783357,47.0,21.8,19.136059907833566
Computer Network Support Specialists,146190.0,68746.42857142724,-52.97460252313616,154.4,1.2,-54.174602523136166
Computer User Support Specialists,717190.0,848439.6428571455,18.300540004342718,724.4,-3.5,21.800540004342718
Computer Network Architects,179740.0,226236.78571428545,25.868913827910006,195.8,7.7,18.168913827910007
Database Administrators,69990.0,30220.0,-56.8224032004572,74.9,-0.1,-56.7224032004572
Database Architects,67140.0,103788.0,54.58445040214477,76.0,9.4,45.18445040214477
Network and Computer Systems Administrators,314340.0,255066.78571428545,-18.85640207600514,310.4,-4.1,-14.75640207600514
Computer Programmers,92230.0,-87043.92857142538,-194.37702328030508,102.7,-7.3,-187.07702328030507
Software Developers,1687890.0,2500120.0,48.12102684416639,1892.6,10.2,37.92102684416639
Software Quality Assurance Analysts and Testers,186740.0,191168.0,2.371211309842562,198.2,5.7,-3.328788690157438
Web Developers,70190.0,34744.0,-50.50007123521869,90.6,3.8,-54.30007123521869
Web and Digital Interface Designers,113330.0,194244.0,71.39680578840554,140.8,6.0,65.39680578840554
"Computer Occupations, All Other",435370.0,568943.2142857164,30.68039007871843,495.3,5.1,25.58039007871843
Actuaries,26670.0,36108.18181818188,35.38875822340413,34.1,9.2,26.188758223404133
Mathematicians,2030.0,898.636363636353,-55.73219883564763,2.2,0.6,-56.33219883564763
Operations Research Analysts,108510.0,117275.45454545459,8.078015432176377,126.6,11.9,-3.8219845678236233
Statisticians,29030.0,24714.090909091057,-14.867065418218885,34.7,11.0,-25.867065418218885
Data Scientists,262440.0,654916.0,149.5488492607834,371.0,34.6,114.94884926078342
"Mathematical Science Occupations, All Other",3720.0,7149.198113207589,92.18274497869862,4.2,7.1,85.08274497869863
"Architects, Except Landscape and Naval",106770.0,122800.90909090918,15.014432041686968,129.9,4.3,10.714432041686969
Landscape Architects,19600.0,19313.636363636364,-1.4610389610389594,24.5,4.4,-5.861038961038959
Cartographers and Photogrammetrists,14260.0,15424.09090909094,8.163330358281492,15.7,7.4,0.7633303582814914
Surveyors,50830.0,61009.54545454541,20.0266485432725,55.0,5.8,14.2266485432725
Aerospace Engineers,67710.0,63835.90909090909,-5.721593426511464,74.4,8.3,-14.021593426511465
Agricultural Engineers,1480.0,866.8181818181765,-41.431203931204294,1.6,6.9,-48.33120393120429
Biomedical Engineers,23480.0,21856.363636363647,-6.9149759950440925,25.7,7.6,-14.514975995044093
Chemical Engineers,21070.0,3594.545454545412,-82.93998360443562,22.9,4.7,-87.63998360443563
Civil Engineers,367840.0,424418.6363636367,15.381316975760303,405.1,6.4,8.981316975760302
Computer Hardware Engineers,76660.0,85165.0,11.094442995043046,83.0,9.1,1.9944429950430465
Electrical Engineers,198750.0,202063.6363636367,1.6672384219555734,219.5,9.9,-8.232761578044427
"Electronics Engineers, Except Computer",96900.0,43898.18181818351,-54.697438784124344,101.8,3.7,-58.39743878412435
Environmental Engineers,38340.0,20845.0,-45.63119457485655,41.6,6.3,-51.93119457485655
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",21450.0,17269.09090909094,-19.491417673235706,23.5,5.4,-24.891417673235708
Industrial Engineers,365740.0,470510.9090909101,28.646281262894433,410.6,12.4,16.246281262894435
Marine Engineers and Naval Architects,8250.0,7654.090909090912,-7.223140495867736,8.9,6.7,-13.923140495867736
Materials Engineers,22770.0,16434.090909090824,-27.825687707111,25.6,7.5,-35.325687707111
Mechanical Engineers,296810.0,287186.36363636365,-3.2423558382926294,332.0,11.2,-14.44235583829263
"Mining and Geological Engineers, Including Mining Safety Engineers",6080.0,6283.636363636368,3.349282296650783,6.4,3.8,-0.4507177033492167
Nuclear Engineers,15280.0,9353.181818181765,-38.78807710614028,16.6,0.4,-39.18807710614028
Petroleum Engineers,18060.0,-1678.1818181816489,-109.2922581294665,18.8,2.0,-111.2922581294665
"Engineers, All Other",154070.0,188752.7272727266,22.511019194344517,173.0,3.7,18.811019194344517
Architectural and Civil Drafters,103700.0,122875.45454545459,18.491277285877132,109.5,5.2,13.291277285877133
Electrical and Electronics Drafters,17920.0,8035.0,-55.16183035714286,18.2,-3.4,-51.76183035714286
Mechanical Drafters,39960.0,12811.818181818351,-67.93839293839251,39.6,-6.0,-61.93839293839251
Aerospace Engineering and Operations Technicians,11280.0,7760.0,-31.20567375886525,12.9,11.9,-43.10567375886525
Civil Engineering Technicians,68520.0,53832.272727272706,-21.435679032001303,73.2,3.2,-24.635679032001303
Electrical and Electronics Engineering Technicians,95130.0,37801.3636363633,-60.263467217109955,99.2,2.4,-62.663467217109954
Electro-Mechanical Technicians,15520.0,15942.272727272706,2.7208294283035186,16.2,2.6,0.1208294283035185
Environmental Engineering Technicians,12190.0,6733.6363636364695,-44.76098143038171,12.9,3.1,-47.86098143038171
Industrial Engineering Technicians,75570.0,84266.36363636376,11.507693047986983,79.0,3.1,8.407693047986983
Mechanical Engineering Technicians,36190.0,25544.545454544947,-29.415458815847067,37.4,1.3,-30.715458815847068
"Engineering Technicians, Except Drafters, All Other",59930.0,50731.081632652786,-15.34943829025065,64.1,2.8,-18.14943829025065
Surveying and Mapping Technicians,58010.0,62491.36363636376,7.725157104574665,62.2,5.8,1.925157104574665
Animal Scientists,3100.0,3039.0909090909117,-1.9648093841641376,3.6,5.8,-7.7648093841641375
Food Scientists and Technologists,13060.0,12966.818181818177,-0.7134901851594446,14.9,6.2,-6.913490185159445
Soil and Plant Scientists,15730.0,18061.818181818177,14.82401895625033,21.3,6.7,8.124018956250328
Biochemists and Biophysicists,33830.0,40600.90909090894,20.014511057963176,39.5,12.3,7.7145110579631755
Microbiologists,18940.0,17540.909090909117,-7.386963617164111,21.4,6.2,-13.58696361716411
Zoologists and Wildlife Biologists,18120.0,16439.09090909091,-9.276540236805122,20.2,3.6,-12.876540236805122
"Biological Scientists, All Other",55850.0,89921.81818181835,61.005941238707884,62.4,4.7,56.30594123870788
Conservation Scientists,25950.0,29885.45454545447,15.165528113504706,29.2,5.3,9.865528113504705
Foresters,10430.0,11859.090909090883,13.70173450710338,13.5,2.2,11.501734507103379
Epidemiologists,12090.0,18100.909090909176,49.718023911573,15.2,18.7,31.018023911573
"Medical Scientists, Except Epidemiologists",172340.0,202884.54545454495,17.72342198824704,203.7,12.6,5.12342198824704
Astronomers,2120.0,2067.272727272728,-2.4871355060033995,2.6,7.8,-10.287135506003398
Physicists,20430.0,25301.36363636353,23.84416855782443,24.8,7.2,16.64416855782443
Atmospheric and Space Scientists,10000.0,8892.272727272735,-11.077272727272648,10.9,2.6,-13.677272727272648
Chemists,82770.0,79604.09090909082,-3.824947554559835,90.3,6.4,-10.224947554559835
Materials Scientists,8470.0,9550.00000000003,12.75088547815855,9.3,8.3,4.450885478158549
"Environmental Scientists and Specialists, Including Health",89250.0,82260.45454545452,-7.8314234784823356,99.2,6.1,-13.931423478482335
