job_title,cluster,cluster_v2
Senior Machine Learning Engineer,24,14
"Principal Software Engineer, ML Accelerators",4,18
Senior ETL Data Warehouse Specialist,21,5
Senior Data Warehouse Developer / Architect,17,9
Lead Data Engineer,27,58
Senior Data Engineer,6,34
"Manager, Cyber Risk & Analysis (Machine Learning)",24,14
"Principal Associate, Data Loss Prevention (DLP) Engineer",4,37
Senior Financial Data Analyst,5,47
Machine Learning Infrastructure Engineer,24,14
Sr. Workforce Management Data Analyst,5,53
Master Data Management - Data/Process Analyst,5,53
4 Corporate Associate Positions (AmLaw),10,37
Sr. Database Administrator,19,30
Senior MLOps Engineer,6,34
Summer 2024 Datacenter Hardware Validation Engineer Undergrad Co-Op/ Intern,0,20
Enterprise Data Manager/Product owner,7,44
IT Database Developer Senior - DBA Admin,17,9
Contractor - Epic Clarity Data Analyst - Revenue Cycle,5,39
Data Engineering Architect,29,22
"Staff Data Engineer, Fleet Analytics",8,51
"Senior Data Engineer, Public Company",6,34
IT- Data Lifecycle Manager,7,3
"Lead Software Engineer, Full Stack (Enterprise Data)",16,6
Senior Architect - Data Analytics Product Line,8,44
VCP Design to Value Project Manager and Data Analyst-MR,7,24
"Lead Data Engineer, (Python, Java or Scala)",27,58
Data Scientist,12,40
Data Visualization / Business Intelligence Analyst (3019),25,55
Senior Data Architect,29,31
Senior ML Engineer,3,12
"Director, Ontology and Data Modeling",10,39
Sr. Data Scientist,12,40
Sr. Data Engineer - ETL with Security Clearance,1,19
Sr Analyst IT - Data Science,18,1
Electrical Data Center Project Manager,15,24
"Distinguished Engineer, Card Tech Data (Remote-Elligble)",10,23
"Staff Data Scientist, Financial Strategy",12,47
"Senior Counsel, Data Privacy and Cybersecurity",23,52
Data Engineering Manager - San Antonio,7,22
Data Operations Manager,2,32
Configuration and CDRL Data Manager II/III (Top Secret),7,4
"RDM Release Manager, Data Center and DMZ",15,2
Superintendent - Data Center - Indianapolis,15,2
Sr. Data Engineer,6,59
RA/QA Post Market Data Analyst,5,39
Medical Laboratory Scientist MLS-MT - Incentive Eligible,11,11
Registered Nurse (RN) - Medical Laboratory Tech (MLT) - Per Diem at HealthTrust Workforce Solutions,10,39
"Sr ML Engineering Manager , Firefly App Integrations",7,22
"Sales Representative, CoStar Data & Analytics - Washington D.C.",8,51
Data Warehouse Analyst,5,21
Data Manager,7,3
Medical Technologist MT or MLT,20,35
Data Analyst,5,21
Sr. Data Engineer (Hybrid),6,59
"Technical Lead, Edge Data Center Operations",2,32
Supply Chain Data Analyst,5,39
"Manager, Data Loss Prevention (DLP) Engineer (Symantec)",7,3
Data Steward - Research Analysis Spec Sr,10,56
