state,year,month,unemployment_rate,employment,labor_force
Alabama,2015.0,1.0,6.2,2033561.0,2166864.0
Alaska,2015.0,1.0,6.3,339969.0,362704.0
Arizona,2015.0,1.0,6.4,2893441.0,3090768.0
Arkansas,2015.0,1.0,5.5,1258688.0,1331412.0
California,2015.0,1.0,6.8,17534241.0,18818212.0
Colorado,2015.0,1.0,4.1,2692237.0,2807587.0
Connecticut,2015.0,1.0,6.0,1798490.0,1912878.0
Delaware,2015.0,1.0,5.0,435087.0,458015.0
District of Columbia,2015.0,1.0,7.3,351723.0,379620.0
Florida,2015.0,1.0,5.9,8985862.0,9547419.0
Georgia,2015.0,1.0,6.5,4433176.0,4739013.0
Hawaii,2015.0,1.0,3.8,654379.0,680210.0
Idaho,2015.0,1.0,3.9,758658.0,789286.0
Illinois,2015.0,1.0,6.1,6132193.0,6530801.0
Indiana,2015.0,1.0,5.4,3071983.0,3246591.0
Iowa,2015.0,1.0,3.9,1641989.0,1708406.0
Kansas,2015.0,1.0,4.3,1433010.0,1497763.0
Kentucky,2015.0,1.0,5.4,1880712.0,1987156.0
Louisiana,2015.0,1.0,6.7,2023380.0,2169690.0
Maine,2015.0,1.0,4.9,661015.0,695333.0
Maryland,2015.0,1.0,5.4,2988575.0,3157724.0
Massachusetts,2015.0,1.0,5.2,3445330.0,3632559.0
Michigan,2015.0,1.0,6.0,4478524.0,4764774.0
Minnesota,2015.0,1.0,3.8,2886685.0,3002256.0
Mississippi,2015.0,1.0,6.8,1164541.0,1249462.0
Missouri,2015.0,1.0,5.6,2874992.0,3046324.0
Montana,2015.0,1.0,4.3,495156.0,517396.0
Nebraska,2015.0,1.0,2.9,983736.0,1013018.0
Nevada,2015.0,1.0,7.4,1286014.0,1389305.0
New Hampshire,2015.0,1.0,3.8,721759.0,750638.0
New Jersey,2015.0,1.0,6.3,4307181.0,4599138.0
New Mexico,2015.0,1.0,6.5,879963.0,940698.0
New York,2015.0,1.0,5.7,9153255.0,9705061.0
North Carolina,2015.0,1.0,5.7,4412586.0,4680763.0
North Dakota,2015.0,1.0,2.6,405169.0,416126.0
Ohio,2015.0,1.0,5.2,5440311.0,5737312.0
Oklahoma,2015.0,1.0,4.0,1740647.0,1813648.0
Oregon,2015.0,1.0,5.8,1844099.0,1958638.0
Pennsylvania,2015.0,1.0,5.5,6087410.0,6444939.0
Rhode Island,2015.0,1.0,6.5,529233.0,566321.0
South Carolina,2015.0,1.0,6.4,2089533.0,2233242.0
South Dakota,2015.0,1.0,3.2,435204.0,449519.0
Tennessee,2015.0,1.0,6.1,2879087.0,3065281.0
Texas,2015.0,1.0,4.5,12413821.0,13005030.0
Utah,2015.0,1.0,3.5,1392252.0,1443189.0
Vermont,2015.0,1.0,3.7,340483.0,353493.0
Virginia,2015.0,1.0,4.7,4037511.0,4237002.0
Washington,2015.0,1.0,5.6,3323383.0,3519204.0
West Virginia,2015.0,1.0,6.4,744197.0,795082.0
Wisconsin,2015.0,1.0,4.7,2947348.0,3093599.0
Wyoming,2015.0,1.0,4.0,289817.0,302001.0
Alabama,2015.0,2.0,6.1,2036524.0,2169495.0
Alaska,2015.0,2.0,6.3,339800.0,362522.0
Arizona,2015.0,2.0,6.3,2898478.0,3093823.0
Arkansas,2015.0,2.0,5.4,1259787.0,1332284.0
California,2015.0,2.0,6.7,17560173.0,18826972.0
Colorado,2015.0,2.0,4.1,2693949.0,2808391.0
Connecticut,2015.0,2.0,5.9,1800235.0,1912990.0
Delaware,2015.0,2.0,5.0,435866.0,458674.0
District of Columbia,2015.0,2.0,7.3,351894.0,379593.0
Florida,2015.0,2.0,5.8,8995968.0,9552483.0
Georgia,2015.0,2.0,6.4,4434740.0,4737111.0
Hawaii,2015.0,2.0,3.7,655219.0,680652.0
Idaho,2015.0,2.0,3.9,760580.0,791359.0
Illinois,2015.0,2.0,6.1,6135825.0,6531408.0
Indiana,2015.0,2.0,5.2,3076931.0,3247085.0
Iowa,2015.0,2.0,3.8,1642043.0,1707615.0
Kansas,2015.0,2.0,4.4,1432269.0,1497519.0
Kentucky,2015.0,2.0,5.3,1879944.0,1985437.0
Louisiana,2015.0,2.0,6.7,2022376.0,2167248.0
Maine,2015.0,2.0,4.8,660850.0,694372.0
Maryland,2015.0,2.0,5.3,2992240.0,3160431.0
Massachusetts,2015.0,2.0,5.1,3445625.0,3630125.0
Michigan,2015.0,2.0,5.9,4482822.0,4763075.0
Minnesota,2015.0,2.0,3.8,2890005.0,3005497.0
Mississippi,2015.0,2.0,6.7,1168167.0,1252238.0
Missouri,2015.0,2.0,5.6,2878083.0,3048541.0
Montana,2015.0,2.0,4.3,496331.0,518398.0
Nebraska,2015.0,2.0,2.9,982946.0,1012312.0
Nevada,2015.0,2.0,7.3,1288563.0,1390782.0
New Hampshire,2015.0,2.0,3.8,722306.0,750753.0
New Jersey,2015.0,2.0,6.3,4310233.0,4599819.0
New Mexico,2015.0,2.0,6.5,879741.0,941207.0
New York,2015.0,2.0,5.6,9170153.0,9718246.0
North Carolina,2015.0,2.0,5.7,4417077.0,4686531.0
North Dakota,2015.0,2.0,2.7,404332.0,415394.0
Ohio,2015.0,2.0,5.2,5435824.0,5731526.0
