state,series_id,year,period,unemployment_rate,year_month
California,LASST060000000000003,2023,January,4.4,2023-January
New York,LASST360000000000003,2023,January,4.0,2023-January
Texas,LASST480000000000003,2023,January,4.1,2023-January
Illinois,LASST170000000000003,2023,January,4.4,2023-January
Florida,LASST120000000000003,2023,January,2.8,2023-January
California,LASST060000000000003,2023,February,4.5,2023-February
New York,LASST360000000000003,2023,February,4.0,2023-February
Texas,LASST480000000000003,2023,February,4.1,2023-February
Illinois,LASST170000000000003,2023,February,4.3,2023-February
Florida,LASST120000000000003,2023,February,2.8,2023-February
California,LASST060000000000003,2023,March,4.5,2023-March
New York,LASST360000000000003,2023,March,4.0,2023-March
Texas,LASST480000000000003,2023,March,4.1,2023-March
Illinois,LASST170000000000003,2023,March,4.2,2023-March
Florida,LASST120000000000003,2023,March,2.8,2023-March
California,LASST060000000000003,2023,April,4.5,2023-April
New York,LASST360000000000003,2023,April,3.9,2023-April
Texas,LASST480000000000003,2023,April,4.0,2023-April
Illinois,LASST170000000000003,2023,April,4.2,2023-April
Florida,LASST120000000000003,2023,April,2.8,2023-April
California,LASST060000000000003,2023,May,4.6,2023-May
New York,LASST360000000000003,2023,May,3.9,2023-May
Texas,LASST480000000000003,2023,May,4.0,2023-May
Illinois,LASST170000000000003,2023,May,4.2,2023-May
Florida,LASST120000000000003,2023,May,2.8,2023-May
California,LASST060000000000003,2023,June,4.6,2023-June
New York,LASST360000000000003,2023,June,3.9,2023-June
Texas,LASST480000000000003,2023,June,4.0,2023-June
Illinois,LASST170000000000003,2023,June,4.3,2023-June
Florida,LASST120000000000003,2023,June,2.9,2023-June
California,LASST060000000000003,2023,July,4.7,2023-July
New York,LASST360000000000003,2023,July,4.0,2023-July
Texas,LASST480000000000003,2023,July,4.0,2023-July
Illinois,LASST170000000000003,2023,July,4.4,2023-July
Florida,LASST120000000000003,2023,July,2.9,2023-July
California,LASST060000000000003,2023,August,4.8,2023-August
New York,LASST360000000000003,2023,August,4.0,2023-August
Texas,LASST480000000000003,2023,August,4.0,2023-August
Illinois,LASST170000000000003,2023,August,4.6,2023-August
Florida,LASST120000000000003,2023,August,3.0,2023-August
California,LASST060000000000003,2023,September,4.9,2023-September
New York,LASST360000000000003,2023,September,4.1,2023-September
Texas,LASST480000000000003,2023,September,4.0,2023-September
Illinois,LASST170000000000003,2023,September,4.7,2023-September
Florida,LASST120000000000003,2023,September,3.0,2023-September
California,LASST060000000000003,2023,October,5.0,2023-October
New York,LASST360000000000003,2023,October,4.1,2023-October
Texas,LASST480000000000003,2023,October,4.0,2023-October
