occupation_title,soc_code,year,employment,median_wage,Description
Accountants and Auditors,13-2011,2025,1449500,83680,"Examine, analyze, and interpret accounting records to prepare financial statements, give advice, or audit and evaluate statements prepared by others. Install or advise on systems of recording costs or other financial and budgetary data."
Customer Service Representatives,43-4051,2025,2595750,44770,"Interact with customers to provide basic or scripted information in response to routine inquiries about products and services. May handle and resolve general complaints. Excludes individuals whose duties are primarily installation, sales, repair, and technical support."
Data Entry Keyers,43-9021,2025,127080,41340,"Operate data entry device, such as keyboard or photo composing perforator. Duties may include verifying data and preparing materials for printing."
Data Scientists,15-2051,2025,262440,120230,"Develop and implement a set of techniques or analytics applications to transform raw data into meaningful information using data-oriented programming languages and visualization software. Apply data mining, data modeling, natural language processing, and machine learning to extract and analyze information from large structured and unstructured datasets. Visualize, interpret, and report data findings. May create dynamic data reports."
Heavy and Tractor-Trailer Truck Drivers,53-3032,2025,2062040,58640,"Drive a tractor-trailer combination or a truck with a capacity of at least 26,001 pounds Gross Vehicle Weight (GVW). May be required to unload truck. Requires commercial drivers' license. Includes tow truck drivers."
Human Resources Specialists,13-1071,2025,912430,75940,"Recruit, screen, interview, or place individuals within an organization. May perform other activities in multiple human resources areas."
Market Research Analysts and Marketing Specialists,13-1161,2025,899580,78760,"Research conditions in local, regional, national, or online markets. Gather information to determine potential sales of a product or service, or plan a marketing or advertising campaign. May gather information on competitors, prices, sales, and methods of marketing and distribution. May employ search marketing tactics, analyze web metrics, and develop recommendations to increase search engine ranking and visibility to target markets."
Registered Nurses,29-1141,2025,3379720,97550,"Assess patient health problems and needs, develop and implement nursing care plans, and maintain medical records. Administer nursing care to ill, injured, convalescent, or disabled patients. May advise patients on health maintenance and disease prevention or provide case management. Licensing or registration required."
Retail Salespersons,41-2031,2025,3897860,35410,"Sell merchandise, such as furniture, motor vehicles, appliances, or apparel to consumers."
Software Developers,15-1252,2025,1687890,135980,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team."
