occupation_title,soc_code,median_wage,employment,cluster_v2,cluster_name
Chief Executives,11-1011,213990.0,204350.0,2,Elite High-Wage Executives & Medical Specialists
General and Operations Managers,11-1021,105770.0,3503020.0,3,Business & Operations Management
Advertising and Promotions Managers,11-2011,133660.0,21470.0,3,Business & Operations Management
Marketing Managers,11-2021,166790.0,395240.0,3,Business & Operations Management
Sales Managers,11-2022,148270.0,637080.0,3,Business & Operations Management
Public Relations Managers,11-2032,146910.0,74850.0,3,Business & Operations Management
Fundraising Managers,11-2033,125470.0,38810.0,3,Business & Operations Management
Administrative Services Managers,11-3012,114130.0,263960.0,3,Business & Operations Management
Facilities Managers,11-3013,106660.0,156180.0,3,Business & Operations Management
Computer and Information Systems Managers,11-3021,175140.0,670570.0,3,Business & Operations Management
Financial Managers,11-3031,166570.0,841710.0,3,Business & Operations Management
Industrial Production Managers,11-3051,126060.0,246250.0,3,Business & Operations Management
Purchasing Managers,11-3061,148080.0,84320.0,3,Business & Operations Management
"Transportation, Storage, and Distribution Managers",11-3071,107230.0,221180.0,3,Business & Operations Management
Compensation and Benefits Managers,11-3111,149230.0,22940.0,3,Business & Operations Management
Human Resources Managers,11-3121,149280.0,220660.0,3,Business & Operations Management
Training and Development Managers,11-3131,133000.0,48050.0,3,Business & Operations Management
"Farmers, Ranchers, and Other Agricultural Managers",11-9013,89900.0,6500.0,4,Quantitative/Technical Specialists & Managers
Construction Managers,11-9021,114990.0,380360.0,3,Business & Operations Management
"Education and Childcare Administrators, Preschool and Daycare",11-9031,59300.0,73660.0,3,Business & Operations Management
"Education Administrators, Kindergarten through Secondary",11-9032,105870.0,328330.0,3,Business & Operations Management
"Education Administrators, Postsecondary",11-9033,104590.0,180470.0,3,Business & Operations Management
Architectural and Engineering Managers,11-9041,171270.0,220260.0,4,Quantitative/Technical Specialists & Managers
Food Service Managers,11-9051,69390.0,238430.0,3,Business & Operations Management
Gambling Managers,11-9071,93220.0,5030.0,3,Business & Operations Management
"Entertainment and Recreation Managers, Except Gambling",11-9072,79520.0,37980.0,3,Business & Operations Management
Lodging Managers,11-9081,69250.0,42620.0,3,Business & Operations Management
Medical and Health Services Managers,11-9111,123860.0,597080.0,3,Business & Operations Management
Natural Sciences Managers,11-9121,167220.0,108690.0,4,Quantitative/Technical Specialists & Managers
Postmasters and Mail Superintendents,11-9131,96660.0,13810.0,3,Business & Operations Management
"Property, Real Estate, and Community Association Managers",11-9141,69990.0,311180.0,3,Business & Operations Management
Social and Community Service Managers,11-9151,80390.0,209330.0,3,Business & Operations Management
