soc_code,occupation_title,year,employment,median_wage,mean_wage,wage_pct10,wage_pct25,wage_pct75,wage_pct90
11-1011,Chief Executives,2015,238940.0,175110.0,185850.0,68600.0,111040.0,,
11-1021,General and Operations Managers,2015,2145140.0,97730.0,119460.0,44190.0,64750.0,152270.0,
11-1031,Legislators,2015,55820.0,20500.0,42530.0,16950.0,18160.0,64180.0,91960.0
11-2011,Advertising and Promotions Managers,2015,29340.0,95890.0,113610.0,42440.0,62780.0,144930.0,
11-2021,Marketing Managers,2015,192890.0,128750.0,140660.0,66090.0,91520.0,175060.0,
11-2022,Sales Managers,2015,364750.0,113860.0,130400.0,54490.0,76300.0,164300.0,
11-2031,Public Relations and Fundraising Managers,2015,60380.0,104140.0,119390.0,56890.0,76000.0,147590.0,
11-3011,Administrative Services Managers,2015,270080.0,86110.0,94840.0,46430.0,63200.0,116600.0,153570.0
11-3021,Computer and Information Systems Managers,2015,341250.0,131600.0,141000.0,80160.0,101880.0,166160.0,
11-3031,Financial Managers,2015,531120.0,117990.0,134330.0,63020.0,84600.0,163680.0,
11-3051,Industrial Production Managers,2015,169390.0,93940.0,103720.0,56640.0,72210.0,123800.0,162240.0
11-3061,Purchasing Managers,2015,72600.0,108120.0,114130.0,60830.0,79860.0,139080.0,172950.0
11-3071,"Transportation, Storage, and Distribution Managers",2015,109210.0,86630.0,95130.0,50840.0,66060.0,114440.0,149770.0
11-3111,Compensation and Benefits Managers,2015,15930.0,111430.0,121630.0,60680.0,82210.0,150600.0,
11-3121,Human Resources Managers,2015,122780.0,104440.0,117080.0,61300.0,79230.0,141860.0,
11-3131,Training and Development Managers,2015,31430.0,102640.0,111680.0,55850.0,75900.0,135480.0,180360.0
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",2015,4370.0,64170.0,69880.0,33110.0,45930.0,83360.0,113140.0
11-9021,Construction Managers,2015,239640.0,87400.0,97510.0,52350.0,66680.0,117420.0,155200.0
11-9031,"Education Administrators, Preschool and Childcare Center/Program",2015,46760.0,45670.0,52760.0,28890.0,35150.0,62130.0,86870.0
11-9032,"Education Administrators, Elementary and Secondary School",2015,235110.0,90410.0,92940.0,59070.0,72380.0,111820.0,131310.0
11-9033,"Education Administrators, Postsecondary",2015,135690.0,88580.0,102610.0,50240.0,65410.0,123310.0,174280.0
11-9039,"Education Administrators, All Other",2015,31880.0,76930.0,82970.0,41810.0,55390.0,102660.0,128210.0
11-9041,Architectural and Engineering Managers,2015,179770.0,132800.0,141650.0,84710.0,106320.0,165130.0,
11-9051,Food Service Managers,2015,201370.0,48690.0,53640.0,28780.0,37450.0,63070.0,83010.0
11-9061,Funeral Service Managers,2015,8300.0,70890.0,84470.0,38530.0,53280.0,99250.0,142750.0
11-9071,Gaming Managers,2015,3950.0,68380.0,77770.0,43130.0,53140.0,90680.0,122350.0
11-9081,Lodging Managers,2015,35480.0,49720.0,57810.0,28300.0,36700.0,67460.0,94330.0
11-9111,Medical and Health Services Managers,2015,314950.0,94500.0,106070.0,56230.0,72510.0,123740.0,165380.0
11-9121,Natural Sciences Managers,2015,53450.0,120160.0,136570.0,69250.0,91990.0,162510.0,
11-9131,Postmasters and Mail Superintendents,2015,14770.0,70640.0,70540.0,54100.0,61450.0,79970.0,88300.0
11-9141,"Property, Real Estate, and Community Association Managers",2015,174410.0,55380.0,68240.0,28490.0,39160.0,80270.0,123790.0
11-9151,Social and Community Service Managers,2015,119770.0,63530.0,69430.0,38770.0,48920.0,84180.0,108960.0
11-9161,Emergency Management Directors,2015,9840.0,67330.0,73750.0,34000.0,47730.0,93490.0,127180.0
11-9199,"Managers, All Other",2015,376440.0,104850.0,111230.0,53850.0,76530.0,135930.0,169940.0
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",2015,13230.0,62940.0,95810.0,28060.0,40080.0,111370.0,
13-1021,"Buyers and Purchasing Agents, Farm Products",2015,12160.0,56270.0,62280.0,31220.0,41690.0,75140.0,101180.0
13-1022,"Wholesale and Retail Buyers, Except Farm Products",2015,111200.0,52940.0,59270.0,30200.0,39430.0,71210.0,95590.0
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",2015,291540.0,62220.0,66120.0,37850.0,47620.0,80870.0,99960.0
13-1031,"Claims Adjusters, Examiners, and Investigators",2015,271600.0,62980.0,64300.0,37880.0,47590.0,77910.0,94190.0
13-1032,"Insurance Appraisers, Auto Damage",2015,15270.0,64020.0,65300.0,42770.0,52700.0,76970.0,92550.0
13-1041,Compliance Officers,2015,257010.0,65640.0,69180.0,37390.0,48810.0,84600.0,102940.0
13-1051,Cost Estimators,2015,216270.0,60390.0,64810.0,34720.0,45650.0,79000.0,100570.0
13-1071,Human Resources Specialists,2015,491090.0,58350.0,63710.0,34120.0,43780.0,77300.0,99920.0
13-1074,Farm Labor Contractors,2015,1230.0,30910.0,43920.0,17870.0,19950.0,58330.0,88950.0
13-1075,Labor Relations Specialists,2015,79330.0,58820.0,60930.0,18090.0,26470.0,82890.0,110430.0
13-1081,Logisticians,2015,133770.0,74260.0,77470.0,45830.0,57890.0,94200.0,115960.0
13-1111,Management Analysts,2015,614110.0,81320.0,91770.0,45970.0,60450.0,109670.0,150220.0
