state,year,month,unemployment_rate,employment,labor_force
Alabama,2015.0,1.0,6.2,2033561,2166864
Alaska,2015.0,1.0,6.3,339969,362704
Arizona,2015.0,1.0,6.4,2893441,3090768
Arkansas,2015.0,1.0,5.5,1258688,1331412
California,2015.0,1.0,6.8,17534241,18818212
Colorado,2015.0,1.0,4.1,2692237,2807587
Connecticut,2015.0,1.0,6,1798490,1912878
Delaware,2015.0,1.0,5,435087,458015
District of Columbia,2015.0,1.0,7.3,351723,379620
Florida,2015.0,1.0,5.9,8985862,9547419
Georgia,2015.0,1.0,6.5,4433176,4739013
Hawaii,2015.0,1.0,3.8,654379,680210
Idaho,2015.0,1.0,3.9,758658,789286
Illinois,2015.0,1.0,6.1,6132193,6530801
Indiana,2015.0,1.0,5.4,3071983,3246591
Iowa,2015.0,1.0,3.9,1641989,1708406
Kansas,2015.0,1.0,4.3,1433010,1497763
Kentucky,2015.0,1.0,5.4,1880712,1987156
Louisiana,2015.0,1.0,6.7,2023380,2169690
Maine,2015.0,1.0,4.9,661015,695333
Maryland,2015.0,1.0,5.4,2988575,3157724
Massachusetts,2015.0,1.0,5.2,3445330,3632559
Michigan,2015.0,1.0,6,4478524,4764774
Minnesota,2015.0,1.0,3.8,2886685,3002256
Mississippi,2015.0,1.0,6.8,1164541,1249462
Missouri,2015.0,1.0,5.6,2874992,3046324
Montana,2015.0,1.0,4.3,495156,517396
Nebraska,2015.0,1.0,2.9,983736,1013018
Nevada,2015.0,1.0,7.4,1286014,1389305
New Hampshire,2015.0,1.0,3.8,721759,750638
New Jersey,2015.0,1.0,6.3,4307181,4599138
New Mexico,2015.0,1.0,6.5,879963,940698
New York,2015.0,1.0,5.7,9153255,9705061
North Carolina,2015.0,1.0,5.7,4412586,4680763
North Dakota,2015.0,1.0,2.6,405169,416126
Ohio,2015.0,1.0,5.2,5440311,5737312
Oklahoma,2015.0,1.0,4,1740647,1813648
Oregon,2015.0,1.0,5.8,1844099,1958638
Pennsylvania,2015.0,1.0,5.5,6087410,6444939
Rhode Island,2015.0,1.0,6.5,529233,566321
South Carolina,2015.0,1.0,6.4,2089533,2233242
South Dakota,2015.0,1.0,3.2,435204,449519
Tennessee,2015.0,1.0,6.1,2879087,3065281
